Site,Transect,Species,cm,rugosity,Diff,COT
P,3,Coralline algae Porolithon,842,,10,
P,3,Coralline algae,865,,23,
P,3,Carbonate,925,,60,
P,3,Pocillopora verrucosa,931,,6,
P,3,Galaxea fascicularis,943,,12,
P,3,Carbonate,957,,14,
P,3,Favites abdita,962,,5,
P,3,Carbonate,983,,21,
P,3,Coralline algae,1000,,17,
P,4,Favites abdita,9,8.9,9,
P,4,Montipora encrusting,15,,6,
P,4,Goniastrea retiformis,21,,6,
P,4,Carbonate,24,,3,
P,4,Montipora encrusting,48,,24,
P,4,Carbonate,54,,6,
P,4,Montipora encrusting,63,,9,
P,4,Carbonate,80,,17,
P,4,Montipora encrusting,84,,4,
P,4,Carbonate,135,,51,
P,4,Porites rus,138,,3,
P,4,Carbonate,143,,5,
P,4,Coralline algae,155,,12,
P,4,Carbonate,175,,20,
P,4,Pocillopora verrucosa,183,,8,
P,4,Carbonate,231,,48,
P,4,Halimeda,235,,4,
P,4,Carbonate,272,,37,
P,4,Montipora encrusting,273,,1,
P,4,Carbonate,301,,28,
P,4,Montipora encrusting,312,,11,
P,4,Coralline algae Porolithon,315,,3,
P,4,Montipora encrusting,335,,20,
P,4,Goniastrea retiformis,412,,77,
P,4,Carbonate,425,,13,
P,4,Halimeda,425,,0,
P,4,Carbonate,466,,41,
P,4,Montipora encrusting,469,,3,
P,4,Pocillopora eydouxi,473,,4,
P,4,Montipora encrusting,475,,2,
P,4,Carbonate,502,,27,
P,4,Montipora encrusting,505,,3,
P,4,Carbonate,519,,14,
P,4,Goniastrea retiformis,522,,3,
P,4,Carbonate,535,,13,
P,4,Coralline algae Porolithon,537,,2,
P,4,Carbonate,542,,5,
P,4,Sponge encrusting,562,,20,
P,4,Galaxea fascicularis,571,,9,
P,4,Montipora encrusting,573,,2,
P,4,Carbonate,574,,1,
P,4,Montipora encrusting,582,,8,
P,4,Carbonate,599,,17,
P,4,Montipora encrusting,602,,3,
P,4,Carbonate,628,,26,
P,4,Sponge encrusting,635,,7,
P,4,Coralline algae,640,,5,
P,4,Montipora encrusting,663,,23,
P,4,Carbonate,675,,12,
P,4,Montipora encrusting,682,,7,
P,4,Coralline algae,710,,28,
P,4,Favites abdita,712,,2,
P,4,Carbonate,715,,3,
P,4,Coralline algae Porolithon,725,,10,
P,4,Carbonate,732,,7,
P,4,Montipora encrusting,739,,7,
P,4,Carbonate,842,,103,
P,4,Coralline algae Porolithon,851,,9,
P,4,Carbonate,870,,19,
P,4,Sponge encrusting,874,,4,
P,4,Carbonate,883,,9,
P,4,Coralline algae Porolithon,887,,4,
P,4,Montipora encrusting,925,,38,
P,4,Carbonate,930,,5,
P,4,Porites lichen,935,,5,
P,4,Coralline algae Porolithon,942,,7,
P,4,Carbonate,985,,43,
P,4,Sponge encrusting,987,,2,
P,4,Carbonate,1000,,13,
P,5,Carbonate,25,9.1,25,
P,5,Montipora encrusting,36,,11,
P,5,Goniastrea retiformis,52,,16,
P,5,Carbonate,60,,8,
P,5,Goniastrea retiformis,62,,2,
P,5,Carbonate,65,,3,
P,5,Montipora encrusting,95,,30,
P,5,Carbonate,155,,60,
P,5,Galaxea fascicularis,157,,2,
P,5,Montipora encrusting,192,,35,
P,5,Carbonate,220,,28,
P,5,Montipora encrusting,223,,3,
P,5,Carbonate,247,,24,
P,5,Montipora encrusting,253,,6,
P,5,Halimeda,263,,10,
P,5,Carbonate,291,,28,
P,5,Coralline algae Porolithon,302,,11,
P,5,Sponge encrusting,311,,9,
P,5,Carbonate,320,,9,
P,5,Coralline algae Porolithon,331,,11,
P,5,Carbonate,383,,52,
P,5,Montipora encrusting,387,,4,
P,5,Carbonate,391,,4,
P,5,Montipora encrusting,393,,2,
P,5,Carbonate,432,,39,
P,5,Coralline algae Porolithon,465,,33,
P,5,Galaxea fascicularis,473,,8,
P,5,Coralline algae,489,,16,
P,5,Carbonate,511,,22,
P,5,Montipora encrusting,534,,23,
P,5,Carbonate,542,,8,
P,5,Montipora encrusting,553,,11,
P,5,Galaxea fascicularis,565,,12,
P,5,Cliona boring sponge,602,,37,
P,5,Porites lichen,625,,23,
P,5,Carbonate,651,,26,
P,5,Montipora encrusting,665,,14,
P,5,Carbonate,705,,40,
P,5,Sponge encrusting,712,,7,
P,5,Carbonate,715,,3,
P,5,Montipora encrusting,722,,7,
P,5,Carbonate,730,,8,
P,5,Pocillopora verrucosa,737,,7,
P,5,Porites lichen,742,,5,
P,5,Carbonate,762,,20,
P,5,Montipora encrusting,765,,3,
P,5,Carbonate,789,,24,
P,5,Montipora encrusting,793,,4,
P,5,Carbonate,798,,5,
P,5,Montipora encrusting,815,,17,
P,5,Coralline algae,821,,6,
P,5,Montipora encrusting,844,,23,
P,5,Carbonate,847,,3,
P,5,Montipora encrusting,852,,5,
P,5,Porites rus,860,,8,
P,5,Carbonate,865,,5,
P,5,Porites lichen,885,,20,
P,5,Coralline algae Porolithon,887,,2,
P,5,Porites lobata,891,,4,
P,5,Coralline algae Porolithon,906,,15,
P,5,Porites lichen,921,,15,
P,5,Carbonate,931,,10,
P,5,Montipora encrusting,952,,21,
P,5,Coralline algae Porolithon,963,,11,
P,5,Carbonate,975,,12,
P,5,Montipora encrusting,982,,7,
P,5,Carbonate,995,,13,
P,5,Montipora encrusting,1000,,5,
P,6,Carbonate,13,9,13,
P,6,Montipora encrusting,33,,20,
P,6,Carbonate,64,,31,
P,6,Coralline algae Porolithon,75,,11,
P,6,Carbonate,110,,35,
P,6,Coralline algae,115,,5,
P,6,Coralline algae Porolithon,121,,6,
P,6,Coralline algae,155,,34,
P,6,Cliona boring sponge,165,,10,
P,6,Montipora encrusting,174,,9,
P,6,Cliona boring sponge,185,,11,
P,6,Coralline algae Porolithon,192,,7,
P,6,Carbonate,220,,28,
P,6,Montipora encrusting,235,,15,
P,6,Carbonate,285,,50,
P,6,Montipora encrusting,287,,2,
P,6,Carbonate,355,,68,
P,6,Acropora recruit,357,,2,
P,6,Carbonate,384,,27,
P,6,Halimeda,391,,7,
P,6,Montipora encrusting,395,,4,
P,6,Macroalgae Amphiroa,402,,7,
P,6,Montipora encrusting,412,,10,
P,6,Carbonate,420,,8,
P,6,Coralline algae Porolithon,432,,12,
P,6,Carbonate,443,,11,
P,6,Coralline algae Porolithon,465,,22,
P,6,Carbonate,472,,7,
P,6,Montipora encrusting,475,,3,
P,6,Coralline algae,483,,8,
P,6,Porites lichen,485,,2,
P,6,Coralline algae Porolithon,498,,13,
P,6,Halimeda,502,,4,
P,6,Coralline algae,525,,23,
P,6,Sponge encrusting,541,,16,
P,6,Coralline algae,542,,1,
P,6,Sponge encrusting,561,,19,
P,6,Coralline algae,568,,7,
P,6,Carbonate,585,,17,
P,6,Coralline algae Porolithon,625,,40,
P,6,Carbonate,641,,16,
P,6,Coralline algae,682,,41,
P,6,Carbonate,713,,31,
P,6,Montipora encrusting,719,,6,
P,6,Sand and Rubble,730,,11,
P,6,Montipora encrusting,752,,22,
P,6,Carbonate,768,,16,
P,6,Montipora encrusting,785,,17,
P,6,Carbonate,801,,16,
P,6,Carbonate,820,,19,
P,6,Montipora encrusting,875,,55,
P,6,Goniastrea retiformis,879,,4,
P,6,Montipora encrusting,922,,43,
P,6,Carbonate,931,,9,
P,6,Montipora encrusting,987,,56,
P,6,Carbonate,1000,,13,
J,1,Carbonate,10,6.6,10,
J,1,Porites rus,19,,9,
J,1,Platygyra sinensis,29,,10,
J,1,Carbonate,50,,21,
J,1,Porites rus,55,,5,
J,1,Goniastrea retiformis,59,,4,
J,1,Carbonate,62,,3,
J,1,Sponge encrusting,95,,33,
J,1,Carbonate,145,,50,
J,1,Heliopora coerulea,214,,69,
J,1,Coralline algae,222,,8,
J,1,Sponge encrusting,241,,19,
J,1,Coralline algae,292,,51,
J,1,Carbonate,355,,63,
J,1,Heliopora coerulea,402,,47,
J,1,Porites rus,421,,19,
J,1,Coralline algae,451,,30,
J,1,Leptoria phrygia,475,,24,
J,1,Porites rus,522,,47,
J,1,Carbonate,580,,58,
J,1,Porites lobata,652,,72,
J,1,Carbonate,763,,111,
J,1,Halimeda,765,,2,
J,1,Carbonate,824,,59,
J,1,Porites lobata,830,,6,
J,1,Coralline algae,892,,62,
J,1,Sponge encrusting,903,,11,
J,1,Carbonate,952,,49,
J,1,Sand,1000,,48,
J,2,Carbonate,46,5.9,46,
J,2,Platygyra sinensis,55,,9,
J,2,Carbonate,78,,23,
J,2,Platygyra daedalea,82,,4,
J,2,Coralline algae,121,,39,
J,2,Favites abdita,125,,4,
J,2,Carbonate,130,,5,
J,2,Favites abdita,131,,1,
J,2,Carbonate,162,,31,
J,2,Leptoria phrygia,164,,2,
J,2,Carbonate,220,,56,
J,2,Coralline algae,243,,23,
J,2,Carbonate,340,,97,
J,2,Sand,385,,45,
J,2,Porites lobata,391,,6,
J,2,Sand and Rubble,415,,24,
J,2,Carbonate,450,,35,
J,2,Astrea curta,462,,12,
J,2,Carbonate,470,,8,
J,2,Heliopora coerulea,485,,15,
J,2,Carbonate,502,,17,
J,2,Heliopora coerulea,509,,7,
J,2,Porites rus,522,,13,
J,2,Heliopora coerulea,540,,18,
J,2,Carbonate,696,,156,
J,2,Dead Leptoria phrygia,755,,59,
J,2,Heliopora coerulea,775,,20,
J,2,Halimeda,782,,7,
J,2,Porites rus,793,,11,
J,2,Coralline algae Porolithon,795,,2,
J,2,Sponge encrusting,813,,18,
J,2,Sponge,820,,7,
J,2,Coralline algae,833,,13,
J,2,Carbonate,845,,12,
J,2,Sponge encrusting,853,,8,
J,2,Sponge,871,,18,
J,2,Carbonate,880,,9,
J,2,Sand and Rubble,885,,5,
J,2,Coralline algae Porolithon,892,,7,
J,2,Carbonate,951,,59,
J,2,Favites pentagona,954,,3,
J,2,Carbonate,980,,26,
J,2,Porites lobata,1000,,20,
J,3,Porites lobata,15,6.8,15,
J,3,Coralline algae,24,,9,
J,3,Porites lobata,31,,7,
J,3,Halimeda,42,,11,
J,3,Leptoria phrygia,47,,5,
J,3,Sand and Rubble,58,,11,
J,3,Halimeda,70,,12,
J,3,Porites lobata,79,,9,
J,3,Coralline algae,92,,13,
J,3,Turbinaria reniformis,165,,73,
J,3,Halimeda,180,,15,
J,3,Carbonate,260,,80,
J,3,Porites rus,296,,36,
J,3,Sponge encrusting,334,,38,
J,3,Porites lobata,345,,11,
J,3,Carbonate,349,,4,
J,3,Porites lobata,352,,3,
J,3,Coralline algae,395,,43,
J,3,Carbonate,425,,30,
J,3,Sand,462,,37,
J,3,Carbonate,495,,33,
J,3,Sand,551,,56,
J,3,Carbonate,573,,22,
J,3,Porites lobata,612,,39,
J,3,Carbonate,685,,73,
J,3,Platygyra sinensis,702,,17,
J,3,Carbonate,783,,81,
J,3,Platygyra sinensis,792,,9,
J,3,Carbonate,885,,93,
J,3,Heliopora coerulea,895,,10,
J,3,Carbonate,966,,71,
J,3,Sponge encrusting,972,,6,
J,3,Carbonate,1000,,28,
J,4,Coralline algae,12,7,12,2
J,4,Coralline algae Porolithon,53,,41,
J,4,Carbonate,112,,59,
J,4,Sponge encrusting,152,,40,
J,4,Coralline algae,172,,20,
J,4,Favites abdita,181,,9,
J,4,Carbonate,203,,22,
J,4,Coralline algae,215,,12,
J,4,Halimeda,231,,16,
J,4,Coralline algae,240,,9,
J,4,Platygyra sinensis,250,,10,
J,4,Goniastrea retiformis,258,,8,
J,4,Sponge encrusting,260,,2,
J,4,Carbonate,273,,13,
J,4,Sponge,292,,19,
J,4,Carbonate,315,,23,
J,4,Carbonate,352,,37,
J,4,Coralline algae,422,,70,
J,4,Porites lichen,435,,13,
J,4,Coralline algae,451,,16,
J,4,Soft coral Sinularia,455,,4,
J,4,Leptoria phrygia,479,,24,
J,4,Coralline algae,496,,17,
J,4,Sponge encrusting,502,,6,
J,4,Leptoria phrygia,512,,10,
J,4,Coralline algae,521,,9,
J,4,Sponge,542,,21,
J,4,Sponge encrusting,551,,9,
J,4,Coralline algae,595,,44,
J,4,Carbonate,603,,8,
J,4,Coralline algae,681,,78,
J,4,Sand,695,,14,
J,4,Carbonate,762,,67,
J,4,Porites rus,795,,33,
J,4,Porites lichen,805,,10,
J,4,Carbonate,807,,2,
J,4,Porites lobata,815,,8,
J,4,Dead Porites lobata,903,,88,
J,4,Cliona boring sponge,935,,32,
J,4,Sand and Rubble,955,,20,
J,4,Carbonate,1000,,45,
J,5,Goniastrea retiformis,4,8,4,1
J,5,Coralline algae,45,,41,
J,5,Sponge encrusting,56,,11,
J,5,Coralline algae,85,,29,
J,5,Porites lobata,92,,7,
J,5,Coralline algae,95,,3,
J,5,Goniastrea retiformis,105,,10,
J,5,Coralline algae,115,,10,
J,5,Goniastrea retiformis,119,,4,
J,5,Coralline algae,149,,30,
J,5,Carbonate,155,,6,
J,5,Favites pentagona,178,,23,
J,5,Carbonate,192,,14,
J,5,Favites pentagona,253,,61,
J,5,Sand and Rubble,205,,-48,
J,5,Carbonate,277,,72,
J,5,Pocillopora verrucosa,279,,2,
J,5,Carbonate,290,,11,
J,5,Sand and Rubble,335,,45,
J,5,Carbonate,410,,75,
J,5,Coralline algae,572,,162,
J,5,Carbonate,625,,53,
J,5,Coralline algae,648,,23,
J,5,Porites lichen,649,,1,
J,5,Coralline algae,682,,33,
J,5,Carbonate,716,,34,
J,5,Coralline algae,742,,26,
J,5,Carbonate,751,,9,
J,5,Coralline algae,763,,12,
J,5,Sponge encrusting,805,,42,
J,5,Leptoria phrygia,807,,2,
J,5,Carbonate,893,,86,
J,5,Porites rus,905,,12,
J,5,Sand and Rubble,907,,2,
J,5,Leptoria phrygia,915,,8,
J,5,Carbonate,920,,5,
J,5,Sponge encrusting,934,,14,
J,5,Porites lobata,941,,7,
J,5,Carbonate,952,,11,
J,5,Porites lobata,960,,8,
J,5,Carbonate,985,,25,
J,5,Dead Acropora,987,,2,
J,5,Carbonate,1000,,13,
J,6,Porites lobata,81,7.2,81,1
J,6,Sand,92,,11,
J,6,Leptoria phrygia,95,,3,
J,6,Sand,105,,10,
J,6,Leptoria phrygia,115,,10,
J,6,Carbonate,150,,35,
J,6,Porites lobata,158,,8,
J,6,Macroalgae Turbinaria ornata,163,,5,
J,6,Sand and Rubble,192,,29,
J,6,Leptoria phrygia,195,,3,
J,6,Carbonate,237,,42,
J,6,Leptastrea transversa,245,,8,
J,6,Carbonate,264,,19,
J,6,Coralline algae,271,,7,
J,6,Carbonate,308,,37,
J,6,Coralline algae Porolithon,345,,37,
J,6,Halimeda,358,,13,
J,6,Sponge,391,,33,
J,6,Coralline algae,435,,44,
J,6,Pocillopora eydouxi,482,,47,
J,6,Platygyra sinensis,495,,13,
J,6,Coralline algae,571,,76,
J,6,Goniastrea retiformis,605,,34,
J,6,Coralline algae,671,,66,
J,6,Sand,695,,24,
J,6,Coralline algae,702,,7,
J,6,Coralline algae Porolithon,725,,23,
J,6,Coralline algae,735,,10,
J,6,Goniastrea retiformis,746,,11,
J,6,Coralline algae,772,,26,
J,6,Coralline algae Porolithon,775,,3,
J,6,Carbonate,795,,20,
J,6,Porites lobata,820,,25,
J,6,Dead Leptoria phrygia,910,,90,
J,6,Leptoria phrygia,915,,5,
J,6,Favites pentagona,935,,20,
J,6,Sponge encrusting,969,,34,
J,6,Carbonate,1000,,31,
V,1,Halimeda,25,7.8,25,
V,1,Macroalgae Dictyota,42,,17,
V,1,Porites lobata,102,,60,
V,1,Halimeda,125,,23,
V,1,Porites lobata,168,,43,
V,1,Porites rus,324,,156,
V,1,Halimeda,335,,11,
V,1,Porites rus,360,,25,
V,1,Sand and Rubble,380,,20,
V,1,Porites lobata,415,,35,
V,1,Carbonate,452,,37,
V,1,Macroalgae Dictyota,463,,11,
V,1,Carbonate,475,,12,
V,1,Halimeda,488,,13,
V,1,Porites lobata,532,,44,
V,1,Carbonate,552,,20,
V,1,Porites lobata,560,,8,
V,1,Carbonate,561,,1,
V,1,Porites lobata,585,,24,
V,1,Carbonate,615,,30,
V,1,Porites lobata,662,,47,
V,1,Carbonate,676,,14,
V,1,Halimeda,691,,15,
V,1,Porites rus,702,,11,
V,1,Macroalgae Dictyota,727,,25,
V,1,Halimeda,750,,23,
V,1,Porites rus,775,,25,
V,1,Carbonate,790,,15,
V,1,Sponge encrusting,795,,5,
V,1,Carbonate,815,,20,
V,1,Porites rus,841,,26,
V,1,Carbonate,853,,12,
V,1,Porites lobata,861,,8,
V,1,Porites rus,885,,24,
V,1,Macroalgae Dictyota,886,,1,
V,1,Porites rus,935,,49,
V,1,Macroalgae Dictyota,953,,18,
V,1,Halimeda,958,,5,
V,1,Carbonate,970,,12,
V,1,Macroalgae Dictyota,985,,15,
V,1,Sponge,991,,6,
V,1,Halimeda,1000,,9,
V,2,Porites attenuata,22,6.8,22,1
V,2,Carbonate,37,,15,
V,2,Macroalgae Dictyota,51,,14,
V,2,Porites attenuata,63,,12,
V,2,Macroalgae Dictyota,81,,18,
V,2,Carbonate,105,,24,
V,2,Halimeda,122,,17,
V,2,Porites cylindrica,128,,6,
V,2,Sand and Rubble,150,,22,
V,2,Carbonate,171,,21,
V,2,Porites cylindrica,205,,34,
V,2,Carbonate,210,,5,
V,2,Porites rus,222,,12,
V,2,Porites cylindrica,251,,29,
V,2,Porites rus,262,,11,
V,2,Carbonate,278,,16,
V,2,Porites rus,290,,12,
V,2,Carbonate,303,,13,
V,2,Porites rus,315,,12,
V,2,Carbonate,322,,7,
V,2,Porites rus,340,,18,
V,2,Carbonate,345,,5,
V,2,Sponge encrusting,353,,8,
V,2,Carbonate,380,,27,
V,2,Halimeda,403,,23,
V,2,Diploastrea heliopora,441,,38,
V,2,Carbonate,505,,64,
V,2,Porites rus,520,,15,
V,2,Silt,553,,33,
V,2,Porites attenuata,605,,52,
V,2,Halimeda,625,,20,
V,2,Carbonate,727,,102,
V,2,Halimeda,735,,8,
V,2,Carbonate,755,,20,
V,2,Porites rus,801,,46,
V,2,Carbonate,812,,11,
V,2,Porites rus,828,,16,
V,2,Carbonate,840,,12,
V,2,Porites rus,873,,33,
V,2,Carbonate,915,,42,
V,2,Halimeda,920,,5,
V,2,Carbonate,961,,41,
V,2,Halimeda,970,,9,
V,2,Porites rus,1000,,30,
V,3,Porites rus,110,7.2,110,3
V,3,Halimeda,125,,15,
V,3,Porites lobata,142,,17,
V,3,Porites rus,186,,44,
V,3,Carbonate,230,,44,
V,3,Halimeda,235,,5,
V,3,Carbonate,241,,6,
V,3,Porites rus,259,,18,
V,3,Carbonate,263,,4,
V,3,Porites rus,395,,132,
V,3,Halimeda,412,,17,
V,3,Physogyra lichtensteini,432,,20,
V,3,Halimeda,447,,15,
V,3,Carbonate,465,,18,
V,3,Porites rus,538,,73,
V,3,Halimeda,565,,27,
V,3,Porites rus,625,,60,
V,3,Physogyra lichtensteini,692,,67,
V,3,Porites rus,712,,20,
V,3,Porites rus,745,,33,
V,3,Macroalgae Dictyota,822,,77,
V,3,Porites rus,825,,3,
V,3,Macroalgae Dictyota,832,,7,
V,3,Porites rus,840,,8,
V,3,Macroalgae Dictyota,865,,25,
V,3,Carbonate,875,,10,
V,3,Macroalgae Dictyota,912,,37,
V,3,Porites rus,917,,5,
V,3,Macroalgae Dictyota,945,,28,
V,3,Carbonate,952,,7,
V,3,Halimeda,970,,18,
V,3,Carbonate,980,,10,
V,3,Porites rus,1000,,20,
V,4,Carbonate,41,6.2,41,
V,4,Porites rus,81,,40,
V,4,Carbonate,110,,29,
V,4,Halimeda,131,,21,
V,4,Carbonate,162,,31,
V,4,Porites lobata,212,,50,
V,4,Carbonate,240,,28,
V,4,Halimeda,258,,18,
V,4,Carbonate,285,,27,
V,4,Halimeda,307,,22,
V,4,Porites rus,312,,5,
V,4,Halimeda,335,,23,
V,4,Carbonate,355,,20,
V,4,Halimeda,418,,63,
V,4,Porites rus,422,,4,
V,4,Carbonate,463,,41,
V,4,Halimeda,505,,42,
V,4,Carbonate,528,,23,
V,4,Halimeda,563,,35,
V,4,Carbonate,571,,8,
V,4,Porites rus,581,,10,
V,4,Carbonate,612,,31,
V,4,Halimeda,653,,41,
V,4,Macroalgae Dictyota,665,,12,
V,4,Carbonate,670,,5,
V,4,Diploastrea heliopora,743,,73,
V,4,Carbonate,751,,8,
V,4,Halimeda,852,,101,
V,4,Porites lobata,891,,39,
V,4,Carbonate,918,,27,
V,4,Porites lobata,932,,14,
V,4,Halimeda,941,,9,
V,4,Porites rus,947,,6,
V,4,Carbonate,955,,8,
V,4,Porites rus,1000,,45,
V,5,Carbonate,65,6.8,65,
V,5,Halimeda,112,,47,
V,5,Carbonate,130,,18,
V,5,Macroalgae Dictyota,174,,44,
V,5,Carbonate,235,,61,
V,5,Rubble,375,,140,
V,5,Halimeda,442,,67,
V,5,Porites rus,485,,43,
V,5,Halimeda,517,,32,
V,5,Carbonate,575,,58,
V,5,Rubble,637,,62,
V,5,Carbonate,675,,38,
V,5,Porites rus,725,,50,
V,5,Halimeda,727,,2,
V,5,Porites rus,752,,25,
V,5,Porites cylindrica,765,,13,
V,5,Carbonate,780,,15,
V,5,Porites cylindrica,793,,13,
V,5,Halimeda,815,,22,
V,5,Porites rus,855,,40,
V,5,Carbonate,865,,10,
V,5,Halimeda,873,,8,
V,5,Carbonate,892,,19,
V,5,Porites rus,905,,13,
V,5,Macroalgae Dictyota,925,,20,
V,5,Porites rus,931,,6,
V,5,Macroalgae Dictyota,975,,44,
V,5,Carbonate,978,,3,
V,5,Macroalgae Dictyota,986,,8,
V,5,Carbonate,1000,,14,
V,6,Halimeda,3,7.6,3,
V,6,Porites cylindrica,6,,3,
V,6,Halimeda,25,,19,
V,6,Porites cylindrica,28,,3,
V,6,Rubble,116,,88,
V,6,Porites rus,131,,15,
V,6,Carbonate,152,,21,
V,6,Rubble,240,,88,
V,6,Halimeda,265,,25,
V,6,Carbonate,290,,25,
V,6,Halimeda,345,,55,
V,6,Carbonate,372,,27,
V,6,Halimeda,385,,13,
V,6,Carbonate,407,,22,
V,6,Halimeda,415,,8,
V,6,Carbonate,452,,37,
V,6,Porites cylindrica,458,,6,
V,6,Carbonate,485,,27,
V,6,Porites lobata,559,,74,
V,6,Carbonate,585,,26,
V,6,Porites rus,772,,187,
V,6,Carbonate,815,,43,
V,6,Porites rus,823,,8,
V,6,Halimeda,840,,17,
V,6,Sand and Rubble,862,,22,
V,6,Carbonate,905,,43,
V,6,Porites lobata,915,,10,
V,6,Sand and Rubble,953,,38,
V,6,Carbonate,977,,24,
V,6,Halimeda,981,,4,
V,6,Carbonate,1000,,19,
X,1,Porites rus,19,5.1,19,
X,1,Porites lobata,42,,23,
X,1,Carbonate,95,,53,
X,1,Sand and Rubble,125,,30,
X,1,Carbonate,265,,140,
X,1,Porites lobata,284,,19,
X,1,Carbonate,319,,35,
X,1,Porites lobata,330,,11,
X,1,Carbonate,347,,17,
X,1,Porites lichen,352,,5,
X,1,Carbonate,358,,6,
X,1,Porites lobata,362,,4,
X,1,Carbonate,403,,41,
X,1,Halimeda,465,,62,
X,1,Porites lobata,498,,33,
X,1,Carbonate,512,,14,
X,1,Favites abdita,515,,3,
X,1,Carbonate,552,,37,
X,1,Porites lobata,563,,11,
X,1,Halimeda,581,,18,
X,1,Carbonate,664,,83,
X,1,Porites attenuata,692,,28,
X,1,Carbonate,764,,72,
X,1,Porites lobata,792,,28,
X,1,Carbonate,799,,7,
X,1,Porites lobata,807,,8,
X,1,Carbonate,893,,86,
X,1,Halimeda,912,,19,
X,1,Carbonate,927,,15,
X,1,Halimeda,998,,71,
X,1,Carbonate,1000,,2,
X,2,Porites rus,12,7.2,12,
X,2,Porites lobata,34,,22,
X,2,Carbonate,56,,22,
X,2,Porites lobata,88,,32,
X,2,Porites rus,122,,34,
X,2,Sand and Rubble,320,,198,
X,2,Halimeda,381,,61,
X,2,Sand and Rubble,432,,51,
X,2,Halimeda,498,,66,
X,2,Carbonate,535,,37,
X,2,Porites rus,612,,77,
X,2,Porites attenuata,643,,31,
X,2,Carbonate,659,,16,
X,2,Porites cylindrica,680,,21,
X,2,Halimeda,703,,23,
X,2,Carbonate,740,,37,
X,2,Halimeda,760,,20,
X,2,Porites cylindrica,777,,17,
X,2,Sand and Rubble,785,,8,
X,2,Porites rus,810,,25,
X,2,Carbonate,838,,28,
X,2,Porites cylindrica,865,,27,
X,2,Porites rus,879,,14,
X,2,Porites cylindrica,902,,23,
X,2,Halimeda,904,,2,
X,2,Carbonate,965,,61,
X,2,Porites attenuata,1000,,35,
X,3,Porites cylindrica,43,6,43,
X,3,Halimeda,55,,12,
X,3,Porites cylindrica,79,,24,
X,3,Halimeda,110,,31,
X,3,Sand and Rubble,132,,22,
X,3,Halimeda,145,,13,
X,3,Carbonate,172,,27,
X,3,Porites rus,186,,14,
X,3,Porites cylindrica,187,,1,
X,3,Halimeda,235,,48,
X,3,Porites cylindrica,325,,90,
X,3,Halimeda,341,,16,
X,3,Porites rus,402,,61,
X,3,Sand and Rubble,456,,54,
X,3,Carbonate,473,,17,
X,3,Porites rus,475,,2,
X,3,Carbonate,568,,93,
X,3,Porites cylindrica,572,,4,
X,3,Carbonate,602,,30,
X,3,Halimeda,674,,72,
X,3,Porites cylindrica,720,,46,
X,3,Carbonate,753,,33,
X,3,Halimeda,768,,15,
X,3,Carbonate,785,,17,
X,3,Halimeda,804,,19,
X,3,Carbonate,858,,54,
X,3,Porites rus,867,,9,
X,3,Halimeda,955,,88,
X,3,Porites rus,963,,8,
X,3,Halimeda,978,,15,
X,3,Carbonate,1000,,22,
X,4,Porites rus,2,6.2,2,
X,4,Carbonate,26,,24,
X,4,Porites rus,116,,90,
X,4,Carbonate,142,,26,
X,4,Rubble,203,,61,
X,4,Porites rus,365,,162,
X,4,Carbonate,462,,97,
X,4,Goniopora lobata,467,,5,
X,4,Carbonate,531,,64,
X,4,Goniopora lobata,544,,13,
X,4,Porites rus,679,,135,
X,4,Carbonate,710,,31,
X,4,Goniopora lobata,731,,21,
X,4,Carbonate,742,,11,
X,4,Goniopora lobata,751,,9,
X,4,Carbonate,792,,41,
X,4,Silt,971,,179,
X,4,Halimeda,975,,4,
X,4,Carbonate,1000,,25,
X,5,Porites rus,75,8.8,75,
X,5,Porites rus,82,,7,
X,5,Halimeda,105,,23,
X,5,Carbonate,112,,7,
X,5,Porites rus,121,,9,
X,5,Carbonate,138,,17,
X,5,Halimeda,142,,4,
X,5,Porites lichen,147,,5,
X,5,Halimeda,180,,33,
X,5,Porites rus,182,,2,
X,5,Halimeda,187,,5,
X,5,Porites lichen,191,,4,
X,5,Halimeda,205,,14,
X,5,Porites lichen,210,,5,
X,5,Carbonate,225,,15,
X,5,Halimeda,295,,70,
X,5,Carbonate,332,,37,
X,5,Porites cylindrica,342,,10,
X,5,Carbonate,353,,11,
X,5,Porites rus,357,,4,
X,5,Halimeda,485,,128,
X,5,Carbonate,502,,17,
X,5,Porites rus,503,,1,
X,5,Carbonate,516,,13,
X,5,Porites rus,531,,15,
X,5,Carbonate,552,,21,
X,5,Halimeda,558,,6,
X,5,Carbonate,573,,15,
X,5,Halimeda,582,,9,
X,5,Carbonate,612,,30,
X,5,Halimeda,615,,3,
X,5,Carbonate,725,,110,
X,5,Halimeda,729,,4,
X,5,Porites rus,753,,24,
X,5,Carbonate,782,,29,
X,5,Halimeda,835,,53,
X,5,Carbonate,852,,17,
X,5,Halimeda,951,,99,
X,5,Carbonate,973,,22,
X,5,Halimeda,981,,8,
X,5,Carbonate,1000,,19,
X,6,Porites lichen,32,5.3,32,
X,6,Halimeda,40,,8,
X,6,Porites lichen,45,,5,
X,6,Halimeda,103,,58,
X,6,Diploastrea heliopora,143,,40,
X,6,Silt,153,,10,
X,6,Carbonate,243,,90,
X,6,Porites rus,275,,32,
X,6,Carbonate,283,,8,
X,6,Porites rus,305,,22,
